country,cases,recovered,deaths
China,81285,74051,3287
USA,85435,1868,1295
Italy,80589,10361,8215
Spain,57786,7015,4365
Germany,43938,5673,267
Iran,29406,10457,2234
France,29155,4948,1696
Switzerland,11811,131,192
UK,11658,135,578
South Korea,9241,4144,131
Netherlands,7431,3,434
Austria,6909,112,49
Belgium,6235,675,220
Canada,4043,228,39
Turkey,3629,26,75
Portugal,3544,43,60
Norway,3372,6,14
Australia,3050,170,13
Brazil,2985,6,77
Sweden,2840,16,77
Israel,2693,68,8
Malaysia,2031,215,23
Czech Republic,1925,10,9
Denmark,1877,1,41
Ireland,1819,5,19
Luxembourg,1453,6,9
Ecuador,1403,3,34
Japan,1387,359,47
Chile,1306,22,4
Poland,1221,7,16
Pakistan,1201,21,9
Thailand,1045,88,4
Romania,1029,94,23
Saudi Arabia,1012,33,3
Finland,958,10,5
South Africa,927,12,0
Indonesia,893,35,78
Greece,892,36,27
Russia,840,38,3
Iceland,802,82,2
India,727,45,20
Diamond Princess,712,597,10
Philippines,707,28,45
Singapore,683,172,2
Panama,674,2,9
Argentina,589,72,12
Peru,580,14,9
Slovenia,562,10,6
Qatar,549,43,0
Estonia,538,8,1
Egypt,495,102,24
Croatia,495,22,3
Colombia,491,8,6
Dominican Republic,488,3,10
Mexico,475,4,6
Bahrain,458,204,4
Serbia,457,15,7
Hong Kong,454,110,4
Iraq,382,105,36
Lebanon,368,23,6
New Zealand,368,37,0
Algeria,367,29,25
UAE,333,52,2
Lithuania,299,1,4
Armenia,290,18,1
Morocco,275,8,11
Bulgaria,264,8,3
Hungary,261,28,10
Taiwan,252,29,2
Latvia,244,1,0
Uruguay,238,0,0
Costa Rica,231,2,2
Slovakia,226,2,0
Andorra,224,1,3
Jordan,212,1,0
San Marino,208,4,21
Kuwait,208,49,0
North Macedonia,201,3,3
Tunisia,197,2,5
Ukraine,196,1,5
Bosnia and Herzegovina,191,2,3
Moldova,177,2,1
Albania,174,17,6
Vietnam,153,20,0
Burkina Faso,152,10,7
Cyprus,146,4,3
Faeroe Islands,140,47,0
Reunion,135,1,0
Malta,134,2,0
Ghana,132,1,4
Azerbaijan,122,15,3
Brunei,114,5,0
Kazakhstan,113,2,1
Oman,109,23,0
Venezuela,107,15,1
Sri Lanka,106,7,0
Senegal,105,9,0
Cambodia,98,10,0
Cote d'Ivoire,96,3,0
Afghanistan,94,2,4
Palestine,86,17,1
Belarus,86,29,0
Mauritius,81,0,2
Martinique,81,0,1
Georgia,79,11,0
Cameroon,75,2,1
Uzbekistan,75,0,0
Guadeloupe,73,0,1
Montenegro,69,0,1
Cuba,67,1,2
Honduras,67,0,1
Channel Islands,66,0,1
Nigeria,65,3,1
Trinidad and Tobago,65,0,1
Bolivia,61,0,0
Liechtenstein,56,0,0
Congo,51,0,3
Rwanda,50,0,0
Bangladesh,44,11,5
Kyrgyzstan,44,0,0
Paraguay,41,0,3
Mayotte,36,0,0
Gibraltar,35,13,0
Macao,33,10,0
Monaco,33,1,0
Kenya,31,1,1
French Polynesia,30,0,0
Aruba,28,1,0
French Guiana,28,6,0
Jamaica,26,2,1
Guatemala,25,4,1
Isle of Man,25,0,0
Barbados,24,0,0
Togo,24,1,0
Madagascar,23,0,0
Zambia,16,0,0
Bermuda,15,2,0
New Caledonia,14,0,0
Uganda,14,0,0
El Salvador,13,0,0
Maldives,13,8,0
Tanzania,13,0,0
Equatorial Guinea,12,0,0
Ethiopia,12,0,0
Djibouti,11,0,0
Dominica,11,0,0
Mongolia,11,0,0
Saint Martin,11,0,0
Niger,10,0,1
Bahamas,9,1,0
Cayman Islands,8,0,1
Haiti,8,0,0
Namibia,8,2,0
Suriname,8,0,0
Curaçao,7,2,1
Gabon,7,0,1
Antigua and Barbuda,7,0,0
Grenada,7,0,0
Mozambique,7,0,0
Seychelles,7,0,0
Benin,6,0,0
Eritrea,6,0,0
Greenland,6,2,0
Laos,6,0,0
Eswatini,6,0,0
Cabo Verde,5,0,1
Guyana,5,0,1
Fiji,5,0,0
Montserrat,5,0,0
Myanmar,5,0,0
Syria,5,0,0
Angola,4,0,0
Congo,4,0,0
Guinea,4,0,0
Vatican City,4,0,0
Mali,4,0,0
Gambia,3,0,1
Sudan,3,0,1
Zimbabwe,3,0,1
Nepal,3,1,0
CAR,3,0,0
Chad,3,0,0
Liberia,3,0,0
Mauritania,3,0,0
St. Barth,3,0,0
Saint Lucia,3,1,0
Sint Maarten,3,0,0
Anguilla,2,0,0
Belize,2,0,0
Bhutan,2,0,0
British Virgin Islands,2,0,0
Guinea-Bissau,2,0,0
Nicaragua,2,0,0
Saint Kitts and Nevis,2,0,0
Somalia,2,0,0
Turks and Caicos,2,0,0
Libya,1,0,0
Papua New Guinea,1,0,0
St. Vincent Grenadines,1,0,0
Timor-Leste,1,0,0
Total:,531809,384336,24068
